Date,Resting HR,Sleep Score,Stress,Body Battery High,Body Battery Low,Weight
2023-01-29,51,81,37,75,9,
2023-01-30,52,71,22,49,9,
2023-01-31,50,84,20,95,29,
2023-02-01,50,86,27,93,28,
2023-02-02,51,80,28,69,26,
2023-02-03,52,84,27,75,33,
2023-02-04,53,80,26,66,29,
2023-02-05,55,85,30,81,22,
2023-02-06,51,83,23,82,22,
2023-02-07,51,84,20,94,34,53.4
2023-02-08,49,80,20,87,30,
2023-02-09,48,80,21,83,38,
2023-02-10,48,78,18,92,43,
2023-02-11,47,84,27,100,28,
2023-02-12,52,44,34,56,32,
2023-02-13,52,86,24,77,37,
2023-02-14,52,85,22,86,40,
2023-02-15,49,84,26,98,34,
2023-02-16,53,82,25,83,31,
2023-02-17,55,83,27,81,31,
2023-02-18,53,84,25,76,32,
2023-02-19,54,79,28,68,32,
2023-02-20,51,85,24,69,37,
2023-02-21,51,85,24,78,34,
2023-02-22,52,91,21,87,32,
2023-02-23,52,79,24,77,30,
2023-02-24,49,81,21,87,35,
2023-02-25,52,73,27,68,22,
2023-02-26,53,85,27,73,25,
2023-02-27,53,82,25,75,31,
2023-02-28,52,73,24,69,30,
2023-03-01,50,88,28,91,22,
2023-03-02,53,77,23,74,26,
2023-03-03,54,75,23,85,28,
2023-03-04,56,79,33,70,15,
2023-03-05,54,87,26,78,15,
2023-03-06,52,81,25,87,25,
2023-03-07,54,46,27,52,13,
2023-03-08,57,78,34,59,13,
2023-03-09,51,86,22,76,20,
2023-03-10,52,76,21,87,32,
2023-03-11,54,84,29,79,18,
2023-03-12,51,85,23,77,28,
2023-03-13,53,88,21,91,34,
2023-03-14,53,77,23,79,34,
2023-03-15,51,75,20,82,33,53.599
2023-03-16,52,80,23,81,34,
2023-03-17,51,70,25,71,26,
2023-03-18,49,54,28,58,33,
2023-03-19,51,85,21,97,30,
2023-03-20,52,74,38,71,5,
2023-03-21,55,73,24,52,5,
2023-03-22,48,88,21,96,8,
2023-03-23,48,73,29,100,27,
2023-03-24,50,74,21,78,33,
2023-03-25,55,69,42,58,16,
2023-03-26,55,,41,58,8,
2023-03-27,52,83,19,81,13,
2023-03-28,53,71,21,85,33,
2023-03-29,56,44,50,57,5,
2023-03-30,53,27,28,72,30,
2023-03-31,52,74,24,74,38,
2023-04-01,50,92,37,98,20,
2023-04-02,52,91,26,93,19,
2023-04-03,52,73,16,79,17,
2023-04-04,50,96,19,100,39,
2023-04-05,50,84,20,91,45,
2023-04-06,50,77,23,91,37,
2023-04-07,54,86,25,84,24,
2023-04-08,51,76,20,83,29,50.299
2023-04-09,53,84,33,83,8,
2023-04-10,55,30,39,21,5,
2023-04-11,52,78,18,51,5,
2023-04-12,51,79,20,96,37,
2023-04-13,53,86,23,91,32,
2023-04-14,54,78,24,72,29,
2023-04-15,52,73,22,94,43,
2023-04-16,51,84,24,96,34,
2023-04-17,50,84,22,93,32,
2023-04-18,49,86,17,100,44,
2023-04-19,51,81,23,96,28,
2023-04-20,54,84,31,84,15,
2023-04-21,53,80,21,68,19,
2023-04-22,53,74,31,90,23,
2023-04-23,49,86,21,90,33,
2023-04-24,52,86,20,96,40,
2023-04-25,53,88,21,86,38,
2023-04-26,52,79,18,90,38,
2023-04-27,51,82,24,92,27,
2023-04-28,48,84,19,94,37,
2023-04-29,55,82,34,87,21,52.799
2023-04-30,52,85,23,88,24,
2023-05-01,51,84,19,94,39,
2023-05-02,50,88,19,100,37,
2023-05-03,54,77,26,81,16,
2023-05-04,50,83,20,83,19,
2023-05-05,46,92,16,100,42,
2023-05-06,51,90,29,97,17,
2023-05-07,46,84,18,90,17,
2023-05-08,47,78,31,100,11,52.8
2023-05-09,49,87,20,84,17,
2023-05-10,46,80,24,97,18,
2023-05-11,48,74,21,85,18,
2023-05-12,51,80,26,92,22,
2023-05-13,49,87,14,99,29,
2023-05-14,49,79,27,96,27,
2023-05-15,52,84,25,75,30,
2023-05-16,48,87,19,100,38,
2023-05-17,44,83,21,100,32,
2023-05-18,49,84,21,91,36,
2023-05-19,48,83,17,99,41,
2023-05-20,48,96,16,100,41,
2023-05-21,49,89,21,100,40,52.2
2023-05-22,48,85,25,93,29,
2023-05-23,49,76,19,76,27,
2023-05-24,43,80,16,97,39,
2023-05-25,50,75,24,93,27,53.599
2023-05-26,49,58,26,59,22,
2023-05-27,51,90,27,83,22,
2023-05-28,52,71,24,74,22,
2023-05-29,52,88,24,91,33,
2023-05-30,54,78,31,71,23,
2023-05-31,50,70,20,83,26,
2023-06-01,48,83,28,97,26,53.5
2023-06-02,48,82,24,93,29,
2023-06-03,50,86,20,86,34,
2023-06-04,51,78,23,94,34,
2023-06-05,48,84,27,100,30,
2023-06-06,46,80,25,78,33,
2023-06-07,50,69,32,69,13,
2023-06-08,47,78,24,85,22,
2023-06-09,48,87,16,100,47,
2023-06-10,50,83,27,93,30,
2023-06-11,50,63,38,77,6,53.6
2023-06-12,51,55,22,55,9,
2023-06-13,51,82,23,91,30,
2023-06-14,48,87,25,93,30,
2023-06-15,49,75,25,83,27,
2023-06-16,49,82,21,84,27,
2023-06-17,49,86,25,97,26,
2023-06-18,49,76,28,84,20,
2023-06-19,49,84,22,88,23,
2023-06-20,53,78,23,77,35,
